Persona ?| Arsene ?| 1 ?| Fool ?| 2,2,2,3,1 ?| Normal,Normal,Normal,Weak,Normal,Normal,Normal,Normal,Weak,Resist ?| Eiha.1,Cleave.2,Sukunda.4,Dream Needle.5,Adverse Resolve.7 ?| Arsene's Cane ?| Arsene's Cane R ?| Last Stand ?| Curse
Persona ?| Jack-o'-Lantern ?| 2 ?| Magician ?| 2,3,3,3,2 ?| Normal,Normal,Absorb,Weak,Normal,Weak,Normal,Normal,Normal,Normal ?| Agi.2,Rakunda.2,Sharp Student.4,Dazzler.5,Resist Sleep.7 ?| Pumpkin Bomb ?| Pumpkin Buster ?| Thermal Conduct ?| Fire
Persona ?| Pixie ?| 2 ?| Lovers ?| 1,3,3,4,2 ?| Normal,Weak,Normal,Weak,Resist,Normal,Normal,Normal,Resist,Weak ?| Zio.2,Dia.2,Patra.3,Tarukaja.4,Resist Confuse.5 ?| Zio Ring ?| Mazio Ring ?| Static Electricity ?| Elec
Persona ?| Agathion ?| 3 ?| Chariot ?| 3,4,5,7,3 ?| Normal,Resist,Normal,Normal,Resist,Weak,Normal,Normal,Normal,Normal ?| Dia.3,Baisudi.3,Lunge.4,Rakukaja.6,Zio.7,Dodge Elec.8 ?| Zio ?| Mazio ?| Rare Antibody ?| Elec
Persona ?| Mandrake ?| 3 ?| Death ?| 2,3,3,4,4 ?| Normal,Normal,Weak,Normal,Resist,Normal,Normal,Normal,Normal,Normal ?| Pulinpa.3,Energy Drop.3,Lunge.4,Sukunda.5,Skull Cracker.7 ?| Sukunda ?| Masukunda ?| Savior Bloodline ?| Elec
Persona ?| Bicorn ?| 4 ?| Hermit ?| 5,3,3,5,3 ?| Normal,Normal,Normal,Normal,Weak,Normal,Normal,Normal,Normal,Resist ?| Lunge.4,Tarunda.4,Garu.6,Ice Wall.7,Apt Pupil.8 ?| Lunge ?| Assault Dive ?| Striking Weight ?| Wind
Persona ?| Cait Sith ?| 5 ?| Magician ?| 6,4,4,5,3 ?| Normal,Normal,Normal,Normal,Resist,Weak,Normal,Normal,Normal,Normal ?| Agi.5,Cleave.5,Tarukaja.5,Resist Sleep.6,Sukukaja.7,Media.9 ?| Agi ?| Maragi ?| Thermal Conduct ?| Ailment
Persona ?| Incubus ?| 5 ?| Devil ?| 4,6,4,5,3 ?| Normal,Normal,Weak,Normal,Resist,Normal,Normal,Normal,Weak,Normal ?| Life Drain.5,Dream Needle.5,Dormina.7,Tarunda.8,Dodge Curse.9 ?| Dream Needle ?| Dormin Rush ?| Draining Mouth ?| Ailment
Persona ?| Kelpie ?| 6 ?| Strength ?| 5,5,5,6,4 ?| Normal,Normal,Normal,Resist,Weak,Normal,Normal,Normal,Normal,Normal ?| Garu.6,Lunge.6,Resist Brainwash.8,Sukukaja.9,Terror Claw.10 ?| Garu ?| Magaru ?| Striking Weight ?| Wind
Persona ?| Saki Mitama ?| 6 ?| Lovers ?| 4,6,5,6,4 ?| Normal,Normal,Normal,Resist,Normal,Weak,Normal,Normal,Normal,Normal ?| Bufu.6,Energy Drop.6,Wind Wall.6,Growth 1.7,Rakukaja.8,Resist Dizzy.10 ?| Energy Drop Charm ?| Energy Shower Charm ?| Internal Hypnosis ?| Aid
Persona ?| Silky ?| 6 ?| Priestess ?| 4,7,4,5,5 ?| Normal,Normal,Weak,Resist,Weak,Normal,Normal,Normal,Normal,Normal ?| Dormina.6,Bufu.6,Dia.7,Patra.9,Sharp Student.10 ?| Silk Dress ?| Silk Dress R ?| Intense Focus ?| Aid
Persona ?| Genbu ?| 7 ?| Temperance ?| 5,6,7,6,4 ?| Normal,Normal,Normal,Null,Weak,Normal,Resist,Normal,Normal,Normal ?| Bufu.7,Rakunda.7,Patra.8,Resist Forget.9,Mabufu.10,Defense Master.12 ?| Bufu Ring ?| Mabufu Ring ?| Cold-Blooded ?| Ice
Persona ?| Succubus ?| 7 ?| Moon ?| 4,7,5,8,4 ?| Normal,Normal,Resist,Normal,Normal,Weak,Normal,Normal,Weak,Null ?| Dormina.7,Rebellion.7,Agi.8,Dekaja.10,Sleep Boost.11,Mudo.12 ?| Brain Shot ?| Brain Shot R ?| Foul Odor ?| Curse
Persona ?| Obariyon ?| 8 ?| Fool ?| 7,3,9,8,4 ?| Resist,Normal,Normal,Normal,Weak,Normal,Normal,Normal,Normal,Normal ?| Snap.8,Sukunda.8,Lucky Punch.9,Resist Fear.10,Dekaja.12 ?| Lucky Punch ?| Miracle Punch ?| Striking Weight ?| Physical
Persona ?| Angel ?| 9 ?| Justice ?| 6,9,5,9,5 ?| Normal,Weak,Normal,Normal,Resist,Normal,Normal,Normal,Null,Weak ?| Kouha.9,Makajam.9,Dia.9,Baisudi.10,Dodge Curse.11,Dekunda.12 ?| Kouha ?| Makouha ?| Skillful Combo ?| Bless
Persona ?| Berith ?| 9 ?| Hierophant ?| 9,6,8,8,3 ?| Normal,Null,Resist,Weak,Normal,Normal,Normal,Normal,Normal,Normal ?| Cleave.9,Rakukaja.9,Tarukaja.10,Dodge Fire.11,Power Slash.13 ?| Cleave ?| Power Slash ?| Crisis Control ?| Physical
Persona ?| Hua Po ?| 9 ?| Hanged_Man ?| 4,10,4,8,8 ?| Normal,Weak,Repel,Weak,Normal,Normal,Normal,Normal,Normal,Normal ?| Agi.9,Dormina.9,Tarunda.11,Resist Forget.12,Maragi.13,Burn Boost.15 ?| Agi Ring ?| Maragi Ring ?| Thermal Conduct ?| Fire
Persona ?| Koropokkuru ?| 9 ?| Hermit ?| 5,8,6,9,6 ?| Normal,Normal,Weak,Resist,Normal,Resist,Normal,Normal,Normal,Normal ?| Makajam.9,Bufu.9,Dodge Ice.11,Sukunda.12,Fire Wall.13,Mabufu.14,Climate Decorum.15 ?| Bufu ?| Mabufu ?| Foul Odor ?| Ice
Persona ?| Mokoi ?| 9 ?| Death ?| 9,5,6,10,4 ?| Normal,Normal,Normal,Normal,Resist,Weak,Normal,Normal,Normal,Normal ?| Tarukaja.9,Dazzler.9,Skull Cracker.10,Marin Karin.12,Dodge Elec.13,Dekunda.14 ?| Dekunda ?| Dekaja ?| Gloomy Child ?| Ailment
